id,url,date_seen,approved_by_board,approved_by,signed_by_director,signed_by,link_on_front_page,created_at,updated_at,broken_url,verified_by_id,published,contributor_email,marked_not_broken_url,first_year_covered,last_year_covered,company_id,related_companies
,https://www.2agriculture.com/wp-content/uploads/2019/04/Slavery-and-Human-Trafficking-statement-April-19-signed.pdf,43657,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,27750,
,https://www.prestonmotorcycles.co.uk/slavery-statement,43817,Not explicit,,No,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2019,2019,NEW5335,
,https://www.3stepit.com/sites/default/files/modern_slavery_statement_2018.pdf,43817,Yes,,Yes,,FALSE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,NEW5337,
,https://multimedia.3m.com/mws/media/1710264O/2018-uk-modern-slavery-statement-pdf.pdf,43838,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,9861,
,https://www.4com.co.uk/wp-content/uploads/2019/03/Modern-Slavery.pdf,43817,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,NEW5339,
,https://investors.4imprint.com/modern-slavery-statement/,43817,Yes,,No,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,,,32639,
,https://www.ahconstruction.com/pages/modern-slavery-statement,43688,Not explicit,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2019,2019,NEW5341,
,https://www.clarketransport.co.uk/modern-slavery,43791,Yes,,No,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2019,22104,
,https://www.afblakemore.com/about-us/slavery-human-trafficking-statement,43838,Not explicit,,No,,FALSE,,,f,6,t,carrier@business-humanrights.org,f,,,10719,
,https://www.agbarr.co.uk/modern-slavery-statement-2019/,43788,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2019,2019,6917,
,https://galldris.co.uk/about-galldris-construction/modern-slavery-act-2015/,43688,Not explicit,,Yes,,FALSE,,,f,6,t,carrier@business-humanrights.org,f,2019,2019,NEW5345,
,https://www.ajnsteelstock.co.uk/wp-content/uploads/2019/04/OP008-Modern-Slavery-and-Human-Trafficking-Policy-Reviewed-04.04.2019.pdf,43657,Not explicit,,No,,FALSE,,,f,6,t,carrier@business-humanrights.org,f,2019,2019,18306,
,http://www.akstoddart.co.uk/modernslaverystatement.html,43817,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2017,2017,NEW5347,
,https://www.hammondgroup.co.uk/exclusive/aw-and-d-hammond-limiteds-gender-pay-gap-data/67588,43817,Not explicit,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,NEW5348,
,https://static1.squarespace.com/static/57079eb859827ea0d8b945cc/t/5d9708a9f76926434855f996/1570179243718/Modern+Slavery+Act+2015+Policy.pdf,43845,Not explicit,,No,,FALSE,,,f,6,t,carrier@business-humanrights.org,f,2019,2019,NEW5350,
,http://www.aah.co.uk/shop/en-GB/aahpoint/modern-slavery-act,43657,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2019,6887,
,https://budweiserbrewinggroup.co.uk/bars-and-pubs/about/our-promise/slavery-and-human-trafficking-statement/,43841,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,6893,
,https://abworldfoods.com/documents/ABF_2018_Modern_Slavery.pdf,43795,Yes,,No,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,NEW5353,
,http://www.abbey-developments.com/Resources/Modern%20Slavery%20ADL%2004.12.2018%20(Statement%20only).pdf,43657,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,16948,
,https://www.fordthornemotorpark.co.uk/slavery-statement.aspx,43817,Not explicit,,No,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2019,2019,NEW5355,
,https://www.abbeylogisticsgroup.com/wp-content/uploads/2019/08/ABBEY-LOGISTICS-GROUP-LIMITED-Modern-Slavery-Statement-final.pdf,43657,Not explicit,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,,,16754,
,https://www.abbvie.co.uk/content/dam/abbvie-dotcom/gb/documents/Modern_Slavery-Act-2018.pdf,43657,Not explicit,,Yes,,FALSE,,,f,6,t,carrier@business-humanrights.org,f,2018,2018,9970,
,https://www.abelandcole.co.uk/content/pdf/modern-slavery/Modern-Slavery-and-Human-Trafficking-Statement_April2019.pdf,43657,Yes,,Yes,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,2018,2019,17130,
,https://www.greateranglia.co.uk/sites/default/files/assets/download_ct/statement_on_modern_slavery.pdf,43657,Not explicit,,No,,TRUE,,,f,6,t,carrier@business-humanrights.org,f,,,9857,
